Stage,Round,Date,Team 1,FT,Team 2
Grunddurchgang,5,Sun Aug 25 2019,FC RB Salzburg,5-0,FC Admira Wacker Mödling
Grunddurchgang,5,Sun Aug 25 2019,SK Sturm Graz,2-0,WSG Tirol
Grunddurchgang,5,Sun Aug 25 2019,TSV Hartberg,2-2,FK Austria Wien
Grunddurchgang,6,Sat Aug 31 2019,LASK Linz,0-1,Wolfsberger AC
Grunddurchgang,6,Sat Aug 31 2019,WSG Tirol,1-5,FC RB Salzburg
Grunddurchgang,6,Sat Aug 31 2019,FC Admira Wacker Mödling,1-3,SV Mattersburg
Grunddurchgang,6,Sun Sep 1 2019,FK Austria Wien,1-3,SK Rapid Wien
Grunddurchgang,6,Sun Sep 1 2019,SKN St. Pölten,1-3,TSV Hartberg
Grunddurchgang,6,Sun Sep 1 2019,SCR Altach,1-2,SK Sturm Graz
Grunddurchgang,7,Sat Sep 14 2019,FC RB Salzburg,7-2,TSV Hartberg
Grunddurchgang,7,Sat Sep 14 2019,SV Mattersburg,0-2,WSG Tirol
Grunddurchgang,7,Sat Sep 14 2019,SK Sturm Graz,0-2,LASK Linz
Grunddurchgang,7,Sun Sep 15 2019,Wolfsberger AC,3-0,FK Austria Wien
Grunddurchgang,7,Sun Sep 15 2019,SCR Altach,6-0,SKN St. Pölten
Grunddurchgang,7,Sun Sep 15 2019,SK Rapid Wien,5-0,FC Admira Wacker Mödling
Grunddurchgang,8,Sat Sep 21 2019,WSG Tirol,0-2,SK Rapid Wien
Grunddurchgang,8,Sat Sep 21 2019,SV Mattersburg,3-3,SK Sturm Graz
Grunddurchgang,8,Sat Sep 21 2019,FC Admira Wacker Mödling,1-1,SKN St. Pölten
Grunddurchgang,8,Sun Sep 22 2019,FK Austria Wien,2-0,SCR Altach
Grunddurchgang,8,Sun Sep 22 2019,LASK Linz,2-2,FC RB Salzburg
Grunddurchgang,8,Sun Sep 22 2019,TSV Hartberg,0-2,Wolfsberger AC
Grunddurchgang,9,Sat Sep 28 2019,FC RB Salzburg,4-1,FK Austria Wien
Grunddurchgang,9,Sat Sep 28 2019,Wolfsberger AC,2-2,WSG Tirol
Grunddurchgang,9,Sat Sep 28 2019,SKN St. Pölten,0-3,LASK Linz
Grunddurchgang,9,Sun Sep 29 2019,SCR Altach,0-2,SV Mattersburg
Grunddurchgang,9,Sun Sep 29 2019,SK Rapid Wien,3-3,TSV Hartberg
Grunddurchgang,9,Sun Sep 29 2019,SK Sturm Graz,4-1,FC Admira Wacker Mödling
Grunddurchgang,10,Sat Oct 5 2019,SV Mattersburg,2-3,SK Rapid Wien
Grunddurchgang,10,Sat Oct 5 2019,FC RB Salzburg,6-0,SCR Altach
Grunddurchgang,10,Sat Oct 5 2019,Wolfsberger AC,4-0,SKN St. Pölten
Grunddurchgang,10,Sat Oct 5 2019,FK Austria Wien,1-0,SK Sturm Graz
Grunddurchgang,10,Sat Oct 5 2019,TSV Hartberg,1-2,LASK Linz
Grunddurchgang,10,Sat Oct 5 2019,FC Admira Wacker Mödling,3-1,WSG Tirol
Grunddurchgang,11,Sat Oct 19 2019,SK Sturm Graz,1-1,FC RB Salzburg
Grunddurchgang,11,Sat Oct 19 2019,LASK Linz,7-2,SV Mattersburg
Grunddurchgang,11,Sat Oct 19 2019,SCR Altach,1-4,FC Admira Wacker Mödling
Grunddurchgang,11,Sun Oct 20 2019,SKN St. Pölten,2-2,FK Austria Wien
Grunddurchgang,11,Sun Oct 20 2019,WSG Tirol,0-1,TSV Hartberg
Grunddurchgang,11,Sun Oct 20 2019,SK Rapid Wien,1-1,Wolfsberger AC
Grunddurchgang,12,Sat Oct 26 2019,FK Austria Wien,2-3,WSG Tirol
Grunddurchgang,12,Sat Oct 26 2019,SKN St. Pölten,0-4,SK Sturm Graz
Grunddurchgang,12,Sat Oct 26 2019,TSV Hartberg,3-1,SV Mattersburg
Grunddurchgang,12,Sun Oct 27 2019,FC RB Salzburg,3-2,SK Rapid Wien
Grunddurchgang,12,Sun Oct 27 2019,Wolfsberger AC,2-2,FC Admira Wacker Mödling
Grunddurchgang,12,Sun Oct 27 2019,SCR Altach,0-1,LASK Linz
Grunddurchgang,13,Sat Nov 2 2019,SK Rapid Wien,0-1,SKN St. Pölten
Grunddurchgang,13,Sat Nov 2 2019,SK Sturm Graz,0-4,Wolfsberger AC
Grunddurchgang,13,Sat Nov 2 2019,SV Mattersburg,0-3,FC RB Salzburg
Grunddurchgang,13,Sun Nov 3 2019,LASK Linz,2-0,FK Austria Wien
Grunddurchgang,13,Sun Nov 3 2019,WSG Tirol,0-4,SCR Altach
Grunddurchgang,13,Sun Nov 3 2019,FC Admira Wacker Mödling,0-1,TSV Hartberg
Grunddurchgang,14,Sat Nov 9 2019,SK Sturm Graz,3-1,TSV Hartberg
Grunddurchgang,14,Sat Nov 9 2019,SKN St. Pölten,5-1,WSG Tirol
Grunddurchgang,14,Sat Nov 9 2019,SCR Altach,0-3,SK Rapid Wien
Grunddurchgang,14,Sun Nov 10 2019,FK Austria Wien,2-1,SV Mattersburg
Grunddurchgang,14,Sun Nov 10 2019,LASK Linz,1-0,FC Admira Wacker Mödling
Grunddurchgang,14,Sun Nov 10 2019,Wolfsberger AC,0-3,FC RB Salzburg
Grunddurchgang,15,Sat Nov 23 2019,FC RB Salzburg,2-2,SKN St. Pölten
Grunddurchgang,15,Sat Nov 23 2019,WSG Tirol,0-2,LASK Linz
Grunddurchgang,15,Sat Nov 23 2019,SV Mattersburg,1-4,Wolfsberger AC
Grunddurchgang,15,Sun Nov 24 2019,SK Rapid Wien,1-1,SK Sturm Graz
Grunddurchgang,15,Sun Nov 24 2019,TSV Hartberg,2-1,SCR Altach
Grunddurchgang,15,Sun Nov 24 2019,FC Admira Wacker Mödling,0-0,FK Austria Wien
Grunddurchgang,16,Sat Nov 30 2019,FK Austria Wien,5-0,TSV Hartberg
Grunddurchgang,16,Sat Nov 30 2019,SKN St. Pölten,0-0,SV Mattersburg
Grunddurchgang,16,Sat Nov 30 2019,WSG Tirol,1-5,SK Sturm Graz
Grunddurchgang,16,Sun Dec 1 2019,LASK Linz,0-4,SK Rapid Wien
Grunddurchgang,16,Sun Dec 1 2019,SCR Altach,2-1,Wolfsberger AC
Grunddurchgang,16,Sun Dec 1 2019,FC Admira Wacker Mödling,1-1,FC RB Salzburg
Grunddurchgang,17,Sat Dec 7 2019,Wolfsberger AC,1-3,LASK Linz
Grunddurchgang,17,Sat Dec 7 2019,TSV Hartberg,3-2,SKN St. Pölten
Grunddurchgang,17,Sat Dec 7 2019,FC RB Salzburg,5-1,WSG Tirol
Grunddurchgang,17,Sun Dec 8 2019,SK Rapid Wien,2-2,FK Austria Wien
Grunddurchgang,17,Sun Dec 8 2019,SK Sturm Graz,1-2,SCR Altach
Grunddurchgang,17,Sun Dec 8 2019,SV Mattersburg,1-2,FC Admira Wacker Mödling
Grunddurchgang,18,Sat Dec 14 2019,SKN St. Pölten,0-3,SCR Altach
Grunddurchgang,18,Sat Dec 14 2019,FC Admira Wacker Mödling,0-3,SK Rapid Wien
Grunddurchgang,18,Sat Dec 14 2019,TSV Hartberg,2-2,FC RB Salzburg
Grunddurchgang,18,Sun Dec 15 2019,WSG Tirol,1-3,SV Mattersburg
Grunddurchgang,18,Sun Dec 15 2019,LASK Linz,3-3,SK Sturm Graz
Grunddurchgang,18,Sun Dec 15 2019,FK Austria Wien,1-1,Wolfsberger AC
Grunddurchgang,19,Fri Feb 14 2020,FC RB Salzburg,2-3,LASK Linz
Grunddurchgang,19,Sat Feb 15 2020,Wolfsberger AC,2-1,TSV Hartberg
Grunddurchgang,19,Sat Feb 15 2020,SCR Altach,3-0,FK Austria Wien
Grunddurchgang,19,Sun Feb 16 2020,SKN St. Pölten,2-2,FC Admira Wacker Mödling
Grunddurchgang,19,Sun Feb 16 2020,SK Sturm Graz,1-2,SV Mattersburg
Grunddurchgang,19,Sun Feb 16 2020,SK Rapid Wien,2-0,WSG Tirol
Grunddurchgang,20,Sat Feb 22 2020,WSG Tirol,2-0,Wolfsberger AC
Grunddurchgang,20,Sat Feb 22 2020,SV Mattersburg,0-0,SCR Altach
Grunddurchgang,20,Sat Feb 22 2020,FC Admira Wacker Mödling,0-2,SK Sturm Graz
Grunddurchgang,20,Sun Feb 23 2020,TSV Hartberg,2-2,SK Rapid Wien
Grunddurchgang,20,Sun Feb 23 2020,FK Austria Wien,2-2,FC RB Salzburg
Grunddurchgang,20,Sun Feb 23 2020,LASK Linz,4-1,SKN St. Pölten
Grunddurchgang,21,Sun Mar 1 2020,SK Rapid Wien,3-1,SV Mattersburg
Grunddurchgang,21,Sun Mar 1 2020,SK Sturm Graz,1-1,FK Austria Wien
Grunddurchgang,21,Sun Mar 1 2020,LASK Linz,5-1,TSV Hartberg
Grunddurchgang,21,Sun Mar 1 2020,SKN St. Pölten,0-4,Wolfsberger AC
Grunddurchgang,21,Sun Mar 1 2020,WSG Tirol,1-1,FC Admira Wacker Mödling
Grunddurchgang,21,Mon Mar 2 2020,SCR Altach,3-2,FC RB Salzburg
Grunddurchgang,22,Sat Mar 7 2020,FK Austria Wien,0-0,SKN St. Pölten
Grunddurchgang,22,Sat Mar 7 2020,TSV Hartberg,0-3,WSG Tirol
Grunddurchgang,22,Sat Mar 7 2020,FC Admira Wacker Mödling,2-0,SCR Altach
Grunddurchgang,22,Sat Mar 7 2020,Wolfsberger AC,2-2,SK Rapid Wien
Grunddurchgang,22,Sun Mar 8 2020,FC RB Salzburg,2-0,SK Sturm Graz
Grunddurchgang,22,Sun Mar 8 2020,SV Mattersburg,0-1,LASK Linz
Finaldurchgang - Meister,23,Sat Mar 14 2020,LASK Linz,1-2,TSV Hartberg
Finaldurchgang - Meister,23,Sat Mar 14 2020,SK Sturm Graz,1-2,Wolfsberger AC
Finaldurchgang - Meister,23,Sat Mar 14 2020,FC RB Salzburg,2-0,SK Rapid Wien
Finaldurchgang - Qualifikation,23,Sat Mar 14 2020,WSG Tirol,0-5,SKN St. Pölten
Finaldurchgang - Qualifikation,23,Sat Mar 14 2020,FK Austria Wien,1-0,FC Admira Wacker Mödling
Finaldurchgang - Qualifikation,23,Sat Mar 14 2020,SV Mattersburg,1-1,SCR Altach
Finaldurchgang - Meister,24,Sat Mar 21 2020,SK Rapid Wien,4-0,SK Sturm Graz
Finaldurchgang - Meister,24,Sat Mar 21 2020,Wolfsberger AC,3-3,LASK Linz
Finaldurchgang - Qualifikation,24,Sat Mar 21 2020,SCR Altach,1-1,WSG Tirol
Finaldurchgang - Qualifikation,24,Sat Mar 21 2020,SKN St. Pölten,1-1,FK Austria Wien
Finaldurchgang - Qualifikation,24,Sat Mar 21 2020,FC Admira Wacker Mödling,0-2,SV Mattersburg
Finaldurchgang - Meister,24,Sat Mar 21 2020,TSV Hartberg,0-6,FC RB Salzburg
Finaldurchgang - Qualifikation,25,Sat Apr 4 2020,SKN St. Pölten,0-3,FC Admira Wacker Mödling
Finaldurchgang - Qualifikation,25,Sat Apr 4 2020,WSG Tirol,1-1,SV Mattersburg
Finaldurchgang - Meister,25,Sat Apr 4 2020,LASK Linz,0-1,SK Rapid Wien
Finaldurchgang - Meister,25,Sat Apr 4 2020,SK Sturm Graz,1-5,FC RB Salzburg
Finaldurchgang - Meister,25,Sat Apr 4 2020,Wolfsberger AC,2-4,TSV Hartberg
Finaldurchgang - Qualifikation,25,Sat Apr 4 2020,FK Austria Wien,0-2,SCR Altach
Finaldurchgang - Qualifikation,26,Sat Apr 11 2020,SCR Altach,,SKN St. Pölten
Finaldurchgang - Meister,26,Sat Apr 11 2020,FC RB Salzburg,,LASK Linz
Finaldurchgang - Meister,26,Sat Apr 11 2020,TSV Hartberg,,SK Sturm Graz
Finaldurchgang - Qualifikation,26,Sat Apr 11 2020,FC Admira Wacker Mödling,,WSG Tirol
Finaldurchgang - Qualifikation,26,Sat Apr 11 2020,SV Mattersburg,,FK Austria Wien
Finaldurchgang - Meister,26,Sat Apr 11 2020,SK Rapid Wien,,Wolfsberger AC
Finaldurchgang - Qualifikation,27,Sat Apr 18 2020,FK Austria Wien,,WSG Tirol
Finaldurchgang - Qualifikation,27,Sat Apr 18 2020,SKN St. Pölten,,SV Mattersburg
Finaldurchgang - Qualifikation,27,Sat Apr 18 2020,FC Admira Wacker Mödling,,SCR Altach
Finaldurchgang - Meister,27,Sat Apr 18 2020,TSV Hartberg,,SK Rapid Wien
Finaldurchgang - Meister,27,Sat Apr 18 2020,LASK Linz,,SK Sturm Graz
Finaldurchgang - Meister,27,Sat Apr 18 2020,Wolfsberger AC,,FC RB Salzburg
Finaldurchgang - Qualifikation,28,Tue Apr 21 2020,WSG Tirol,,FK Austria Wien
Finaldurchgang - Meister,28,Tue Apr 21 2020,SK Rapid Wien,,TSV Hartberg
Finaldurchgang - Meister,28,Tue Apr 21 2020,FC RB Salzburg,,Wolfsberger AC
Finaldurchgang - Qualifikation,28,Tue Apr 21 2020,SV Mattersburg,,SKN St. Pölten
Finaldurchgang - Qualifikation,28,Tue Apr 21 2020,SCR Altach,,FC Admira Wacker Mödling
Finaldurchgang - Meister,28,Tue Apr 21 2020,SK Sturm Graz,,LASK Linz
Finaldurchgang - Meister,29,Sat Apr 25 2020,Wolfsberger AC,,SK Sturm Graz
Finaldurchgang - Qualifikation,29,Sat Apr 25 2020,SCR Altach,,SV Mattersburg
Finaldurchgang - Qualifikation,29,Sat Apr 25 2020,FC Admira Wacker Mödling,,FK Austria Wien
Finaldurchgang - Qualifikation,29,Sat Apr 25 2020,SKN St. Pölten,,WSG Tirol
Finaldurchgang - Meister,29,Sat Apr 25 2020,TSV Hartberg,,LASK Linz
Finaldurchgang - Meister,29,Sat Apr 25 2020,SK Rapid Wien,,FC RB Salzburg
Finaldurchgang - Meister,30,Sat May 2 2020,FC RB Salzburg,,TSV Hartberg
Finaldurchgang - Meister,30,Sat May 2 2020,SK Sturm Graz,,SK Rapid Wien
Finaldurchgang - Meister,30,Sat May 2 2020,LASK Linz,,Wolfsberger AC
Finaldurchgang - Qualifikation,30,Sat May 2 2020,SV Mattersburg,,FC Admira Wacker Mödling
Finaldurchgang - Qualifikation,30,Sat May 2 2020,FK Austria Wien,,SKN St. Pölten
Finaldurchgang - Qualifikation,30,Sat May 2 2020,WSG Tirol,,SCR Altach
Finaldurchgang - Meister,31,Sat May 9 2020,TSV Hartberg,,Wolfsberger AC
Finaldurchgang - Qualifikation,31,Sat May 9 2020,SV Mattersburg,,WSG Tirol
Finaldurchgang - Qualifikation,31,Sat May 9 2020,FC Admira Wacker Mödling,,SKN St. Pölten
Finaldurchgang - Meister,31,Sat May 9 2020,SK Rapid Wien,,LASK Linz
Finaldurchgang - Meister,31,Sat May 9 2020,FC RB Salzburg,,SK Sturm Graz
Finaldurchgang - Qualifikation,31,Sat May 9 2020,SCR Altach,,FK Austria Wien
Finaldurchgang - Meister,32,Sat May 16 2020,Wolfsberger AC,,SK Rapid Wien
Finaldurchgang - Meister,32,Sat May 16 2020,SK Sturm Graz,,TSV Hartberg
Finaldurchgang - Meister,32,Sat May 16 2020,LASK Linz,,FC RB Salzburg
Finaldurchgang - Qualifikation,32,Sat May 16 2020,FK Austria Wien,,SV Mattersburg
Finaldurchgang - Qualifikation,32,Sat May 16 2020,SKN St. Pölten,,SCR Altach
Finaldurchgang - Qualifikation,32,Sat May 16 2020,WSG Tirol,,FC Admira Wacker Mödling
